average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,scenario,severity,severity_rank,method,seed,degradation_pct
7.1102619021946944,19.493052724103983,66.99374999999998,0.430908203125,0.3479678674198767,115.375,41.75,distribution_shift,medium,2,plain_dqn,0,113.82711170559467
9.011163033256064,26.45371746556047,74.31875000000001,0.468505859375,0.5335074071505451,146.75,79.125,distribution_shift,high,3,plain_dqn,0,170.9929663652225
6.9983940972222225,20.94921875,85.65625,0.48193359375,0.36588541666666663,96.0,35.125,co_tenant_interference,low,1,plain_dqn,0,110.46290797313792
5.666840277777778,19.587239583333336,84.3125,0.42830403645833337,0.33333333333333337,96.0,32.0,co_tenant_interference,medium,2,plain_dqn,0,70.4190514726517
6.194184027777778,21.877604166666664,85.8125,0.3876953125,0.3763020833333333,96.0,36.125,co_tenant_interference,high,3,plain_dqn,0,86.27787530918182
7.535568576388888,21.751302083333336,86.25,0.47998046875,0.38411458333333337,96.0,36.875,co_tenant_matched_load_control,low,1,plain_dqn,0,126.61737161205271
7.528689236111111,21.723958333333336,86.25,0.481201171875,0.38151041666666663,96.0,36.625,co_tenant_matched_load_control,medium,2,plain_dqn,0,126.41048901303297
5.157443576388889,18.463541666666664,85.0,0.4239908854166667,0.30338541666666663,96.0,29.125,co_tenant_matched_load_control,high,3,plain_dqn,0,55.09994974775988
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,clean,clean,0,heuristic_sjf_bestfit,1,0.0
5.694574652777778,17.872395833333336,47.71875,0.5235188802083333,0.34635416666666663,96.0,33.25,observation_noise,low,1,heuristic_sjf_bestfit,1,34.98806535248365
6.037977430555555,18.736979166666664,48.96875,0.519775390625,0.3619791666666667,96.0,34.75,observation_noise,medium,2,heuristic_sjf_bestfit,1,43.12831803777933
7.0599609375000005,21.34765625,52.8125,0.5003255208333334,0.39583333333333337,96.0,38.0,observation_noise,high,3,heuristic_sjf_bestfit,1,67.35410922260178
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,low,1,heuristic_sjf_bestfit,1,0.0
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,medium,2,heuristic_sjf_bestfit,1,0.0
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption,high,3,heuristic_sjf_bestfit,1,0.0
2.5844420607559195,7.5560935597493035,25.493749999999977,0.38818359375,0.09489269458349875,86.625,8.875,distribution_shift,low,1,heuristic_sjf_bestfit,1,-38.736630026115904
4.5181369773811015,13.777541412212555,44.52499999999999,0.451416015625,0.27161590930694357,107.0,31.0,distribution_shift,medium,2,heuristic_sjf_bestfit,1,7.100987652640626
8.946754200472622,27.252209263357877,74.87499999999999,0.4949544270833333,0.4799797835081919,147.125,71.625,distribution_shift,high,3,heuristic_sjf_bestfit,1,112.07993824734476
7.058268229166667,22.005208333333332,59.0625,0.45572916666666663,0.41796875,96.0,40.125,co_tenant_interference,low,1,heuristic_sjf_bestfit,1,67.31398411457263
7.9917968749999995,24.36328125,61.5625,0.4200846354166667,0.4739583333333333,96.0,45.5,co_tenant_interference,medium,2,heuristic_sjf_bestfit,1,89.44298119264167
8.716861979166666,26.618489583333336,64.96875,0.37369791666666663,0.5338541666666667,96.0,51.25,co_tenant_interference,high,3,heuristic_sjf_bestfit,1,106.63041688958393
6.873437499999999,21.614583333333332,60.0,0.4583333333333333,0.4166666666666667,96.0,40.0,co_tenant_matched_load_control,low,1,heuristic_sjf_bestfit,1,62.93263097246797
6.873437499999999,21.614583333333332,60.0,0.4583333333333333,0.4166666666666667,96.0,40.0,co_tenant_matched_load_control,medium,2,heuristic_sjf_bestfit,1,62.93263097246797
8.022048611111112,24.916666666666668,62.0,0.4016927083333333,0.4895833333333333,96.0,47.0,co_tenant_matched_load_control,high,3,heuristic_sjf_bestfit,1,90.16008889254704
8.34392361111111,25.020833333333332,58.0,0.3033854166666667,0.6145833333333334,96.0,59.0,clean,clean,0,deeprm_inspired_pg,1,0.0
