average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,method,method_label,seed,degradation_pct,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3,agent_pg_loss
3.1039713541666667,11.591145833333334,66.78125,0.5902506510416667,0.18098958333333334,96.0,17.375,reward_corruption_training_sweep,reward_corruption_training,low,psaim_lite,Simplified PSAIM,2,-8.14034141266232,0.012277293504103864,0.01896299660033795,0.042792970314621925,0.0,0.6205099020797394,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,medium,heuristic_sjf_bestfit,SJF best-fit heuristic,2,0.0,,,,,,
4.793576388888889,16.770833333333332,85.0,0.548828125,0.2708333333333333,96.0,26.0,reward_corruption_training_sweep,reward_corruption_training,medium,deeprm_inspired_pg,PG proxy,2,-2.7439239168721237,,,,,,
10.216015625,30.217447916666668,94.5,0.36474609375,0.5299479166666667,96.0,50.875,reward_corruption_training_sweep,reward_corruption_training,medium,plain_dqn,DQN,2,208.51514218118191,,,,,,
6.745247395833333,21.240885416666668,62.4375,0.47005208333333337,0.375,96.0,36.0,reward_corruption_training_sweep,reward_corruption_training,medium,dqn_rnd,DQN+RND,2,88.19501207926909,0.0,,,,,
10.583094618055556,32.95703125,94.5,0.2451171875,0.62109375,96.0,59.625,reward_corruption_training_sweep,reward_corruption_training,medium,psaim_lite,Simplified PSAIM,2,213.19859221866855,0.0037647480317079527,0.033901354200914335,0.08581857476383448,0.00552203506231308,0.9155816052349512,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,high,heuristic_sjf_bestfit,SJF best-fit heuristic,2,0.0,,,,,,
15.750868055555557,46.677083333333336,87.25,0.21809895833333334,0.75,96.0,72.0,reward_corruption_training_sweep,reward_corruption_training,high,deeprm_inspired_pg,PG proxy,2,219.5667488552308,,,,,,
17.56291232638889,52.20182291666667,94.21875,0.002685546875,0.9947916666666667,96.0,95.5,reward_corruption_training_sweep,reward_corruption_training,high,plain_dqn,DQN,2,430.38528839285135,,,,,,
14.119249131944443,41.61979166666667,85.9375,0.20125325520833334,0.7578125,96.0,72.75,reward_corruption_training_sweep,reward_corruption_training,high,dqn_rnd,DQN+RND,2,293.9325135172773,0.0,,,,,
5.426605902777778,16.111979166666668,40.59375,0.5882975260416667,0.2721354166666667,96.0,26.125,reward_corruption_training_sweep,reward_corruption_training,high,psaim_lite,Simplified PSAIM,2,60.59625191065215,0.0042737144204304245,0.03510217507259081,0.10000191628932953,0.007810410112142563,0.9356655237323334,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,clean,clean,heuristic_sjf_bestfit,SJF best-fit heuristic,3,0.0,,,,,,
3.7930555555555556,11.989583333333334,20.0,0.62109375,0.21875,96.0,21.0,reward_corruption_training_sweep,clean,clean,deeprm_inspired_pg,PG proxy,3,0.0,,,,,,
3.5158854166666664,13.30078125,73.875,0.561279296875,0.20182291666666666,96.0,19.375,reward_corruption_training_sweep,clean,clean,plain_dqn,DQN,3,0.0,,,,,,
3.2984375,12.337239583333332,70.53125,0.580078125,0.18880208333333331,96.0,18.125,reward_corruption_training_sweep,clean,clean,dqn_rnd,DQN+RND,3,0.0,0.0,,,,,
3.064778645833333,11.4921875,65.5,0.5913899739583334,0.1796875,96.0,17.25,reward_corruption_training_sweep,clean,clean,psaim_lite,Simplified PSAIM,3,0.0,0.0032633424986399737,0.02187112157757258,0.045444747898727655,0.0041197966784238815,0.7265498915107913,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,low,heuristic_sjf_bestfit,SJF best-fit heuristic,3,0.0,,,,,,
17.497916666666665,51.895833333333336,94.5,0.05078125,0.9479166666666666,96.0,91.0,reward_corruption_training_sweep,reward_corruption_training,low,deeprm_inspired_pg,PG proxy,3,361.314536799707,,,,,,
3.8662109375,14.15625,73.5,0.5423177083333334,0.24609375,96.0,23.625,reward_corruption_training_sweep,reward_corruption_training,low,plain_dqn,DQN,3,9.96407673505667,,,,,,
3.8916015625,14.513020833333332,74.5625,0.5161946614583334,0.2526041666666667,96.0,24.25,reward_corruption_training_sweep,reward_corruption_training,low,dqn_rnd,DQN+RND,3,17.983183325438183,0.0,,,,,
3.1256293402777775,11.66796875,66.1875,0.5889485677083334,0.18229166666666669,96.0,17.5,reward_corruption_training_sweep,reward_corruption_training,low,psaim_lite,Simplified PSAIM,3,1.9854841564878747,0.01783058574706396,0.025555895855312566,0.033446245128288865,0.0,0.668459222595686,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,medium,heuristic_sjf_bestfit,SJF best-fit heuristic,3,0.0,,,,,,
5.374479166666667,16.5625,35.25,0.5638020833333334,0.2916666666666667,96.0,28.0,reward_corruption_training_sweep,reward_corruption_training,medium,deeprm_inspired_pg,PG proxy,3,41.69260344196266,,,,,,
5.775716145833333,18.365885416666664,76.28125,0.528076171875,0.30078125,96.0,28.875,reward_corruption_training_sweep,reward_corruption_training,medium,plain_dqn,DQN,3,64.27486852825717,,,,,,
5.210872395833333,17.420572916666668,87.28125,0.517333984375,0.28515625,96.0,27.375,reward_corruption_training_sweep,reward_corruption_training,medium,dqn_rnd,DQN+RND,3,57.98002526448761,0.0,,,,,
14.059678819444446,42.71875,84.3125,0.10538736979166666,0.8463541666666666,96.0,81.25,reward_corruption_training_sweep,reward_corruption_training,medium,psaim_lite,Simplified PSAIM,3,358.7502212781024,0.003908960575229933,0.014461834573213365,0.08566584531217813,0.0023985207080841064,0.9478488861578528,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,high,heuristic_sjf_bestfit,SJF best-fit heuristic,3,0.0,,,,,,
5.085416666666666,19.677083333333332,85.0,0.40625,0.34375,96.0,33.0,reward_corruption_training_sweep,reward_corruption_training,high,deeprm_inspired_pg,PG proxy,3,34.07176858293664,,,,,,
17.553754340277777,52.12760416666667,94.125,0.0068359375,0.9934895833333333,96.0,95.375,reward_corruption_training_sweep,reward_corruption_training,high,plain_dqn,DQN,3,399.2698071747772,,,,,,
17.62204861111111,52.32552083333333,94.34375,0.0037434895833333335,0.9973958333333333,96.0,95.75,reward_corruption_training_sweep,reward_corruption_training,high,dqn_rnd,DQN+RND,3,434.2544344439181,0.0,,,,,
14.425759548611111,42.6796875,87.1875,0.28751627604166663,0.6666666666666667,96.0,64.0,reward_corruption_training_sweep,reward_corruption_training,high,psaim_lite,Simplified PSAIM,3,370.69499026376354,-0.018330972829733307,0.017907977090227324,0.10601815022528172,0.011043354868888855,0.9446017802700448,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,clean,clean,heuristic_sjf_bestfit,SJF best-fit heuristic,4,0.0,,,,,,
10.787673611111112,32.28125,70.5,0.1953125,0.75,96.0,72.0,reward_corruption_training_sweep,clean,clean,deeprm_inspired_pg,PG proxy,4,0.0,,,,,,
3.0802300347222227,11.6484375,66.625,0.5816243489583333,0.18880208333333331,96.0,18.125,reward_corruption_training_sweep,clean,clean,plain_dqn,DQN,4,0.0,,,,,,
3.055230034722222,11.48046875,66.03125,0.5892740885416667,0.17838541666666669,96.0,17.125,reward_corruption_training_sweep,clean,clean,dqn_rnd,DQN+RND,4,0.0,0.0,,,,,
3.010460069444444,11.352864583333332,66.03125,0.59228515625,0.17708333333333334,96.0,17.0,reward_corruption_training_sweep,clean,clean,psaim_lite,Simplified PSAIM,4,0.0,0.008932049158450143,0.015275252316519466,0.0397258996963501,0.0,0.5847398768523484,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,low,heuristic_sjf_bestfit,SJF best-fit heuristic,4,0.0,,,,,,
4.351909722222223,14.041666666666666,81.0,0.5872395833333334,0.20833333333333334,96.0,20.0,reward_corruption_training_sweep,reward_corruption_training,low,deeprm_inspired_pg,PG proxy,4,-59.658496547950485,,,,,,
6.704557291666666,19.057291666666664,81.0,0.5181477864583333,0.3372395833333333,96.0,32.375,reward_corruption_training_sweep,reward_corruption_training,low,plain_dqn,DQN,4,117.66417495085842,,,,,,
7.356336805555556,24.845052083333332,85.0,0.2836100260416667,0.5703125,96.0,54.75,reward_corruption_training_sweep,reward_corruption_training,low,dqn_rnd,DQN+RND,4,140.77849202684948,0.0,,,,,
3.722330729166667,13.888020833333332,73.875,0.5492350260416667,0.22135416666666666,96.0,21.25,reward_corruption_training_sweep,reward_corruption_training,low,psaim_lite,Simplified PSAIM,4,23.646573722985565,0.034432486407902016,0.040353725448165484,0.04717735666781664,0.0001958366483449936,0.8794693121139983,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,medium,heuristic_sjf_bestfit,SJF best-fit heuristic,4,0.0,,,,,,
