method,seed,switch_index,adaptation_lag_steps
psaim_lite,8,5,5.0
psaim_lite,8,6,15.0
psaim_lite,8,7,11.0
psaim_lite,8,8,13.0
psaim_no_aleatoric,8,1,10.0
psaim_no_aleatoric,8,2,16.333333333333332
psaim_no_aleatoric,8,3,6.666666666666667
psaim_no_aleatoric,8,4,17.0
psaim_no_aleatoric,8,5,7.5
psaim_no_aleatoric,8,6,14.666666666666666
psaim_no_aleatoric,8,7,19.5
psaim_no_aleatoric,8,8,13.333333333333334
psaim_no_gate,8,1,13.0
psaim_no_gate,8,2,15.5
psaim_no_gate,8,3,15.0
psaim_no_gate,8,5,7.5
psaim_no_gate,8,6,15.333333333333334
psaim_no_gate,8,7,10.0
psaim_no_gate,8,8,12.0
psaim_no_freezing,8,1,10.0
psaim_no_freezing,8,2,19.0
psaim_no_freezing,8,3,15.0
psaim_no_freezing,8,4,15.0
psaim_no_freezing,8,5,6.0
psaim_no_freezing,8,6,13.0
psaim_no_freezing,8,7,12.0
psaim_no_freezing,8,8,6.5
heuristic_sjf_bestfit,9,1,18.5
heuristic_sjf_bestfit,9,2,16.5
heuristic_sjf_bestfit,9,3,15.333333333333334
heuristic_sjf_bestfit,9,4,14.0
heuristic_sjf_bestfit,9,5,13.333333333333334
heuristic_sjf_bestfit,9,6,18.0
heuristic_sjf_bestfit,9,7,12.0
heuristic_sjf_bestfit,9,8,14.5
deeprm_inspired_pg,9,1,13.0
deeprm_inspired_pg,9,2,7.5
deeprm_inspired_pg,9,3,13.0
deeprm_inspired_pg,9,4,13.0
deeprm_inspired_pg,9,5,12.333333333333334
deeprm_inspired_pg,9,6,8.5
deeprm_inspired_pg,9,7,11.666666666666666
deeprm_inspired_pg,9,8,12.0
plain_dqn,9,1,10.0
plain_dqn,9,3,14.5
plain_dqn,9,4,11.0
plain_dqn,9,5,16.0
plain_dqn,9,6,7.5
plain_dqn,9,7,7.0
plain_dqn,9,8,5.0
dqn_rnd,9,1,18.0
dqn_rnd,9,2,16.5
dqn_rnd,9,3,12.0
dqn_rnd,9,4,16.333333333333332
dqn_rnd,9,5,13.5
dqn_rnd,9,6,18.5
dqn_rnd,9,7,9.5
dqn_rnd,9,8,14.0
psaim_lite,9,1,8.666666666666666
psaim_lite,9,2,15.5
psaim_lite,9,3,16.0
psaim_lite,9,4,10.5
psaim_lite,9,5,13.5
psaim_lite,9,6,8.5
psaim_lite,9,7,7.5
psaim_lite,9,8,13.0
psaim_no_aleatoric,9,1,8.666666666666666
psaim_no_aleatoric,9,2,15.5
psaim_no_aleatoric,9,3,13.0
psaim_no_aleatoric,9,4,10.5
psaim_no_aleatoric,9,5,13.5
psaim_no_aleatoric,9,6,7.0
psaim_no_aleatoric,9,7,7.5
psaim_no_aleatoric,9,8,13.0
psaim_no_gate,9,1,11.0
psaim_no_gate,9,2,8.0
psaim_no_gate,9,3,13.0
psaim_no_gate,9,4,15.333333333333334
psaim_no_gate,9,5,15.666666666666666
psaim_no_gate,9,6,10.0
psaim_no_gate,9,7,11.0
psaim_no_gate,9,8,11.0
psaim_no_freezing,9,1,8.666666666666666
psaim_no_freezing,9,2,15.5
psaim_no_freezing,9,3,13.0
psaim_no_freezing,9,4,9.5
psaim_no_freezing,9,5,13.5
psaim_no_freezing,9,6,17.0
psaim_no_freezing,9,7,9.666666666666666
psaim_no_freezing,9,8,13.0
