average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,method,seed,condition,adaptation_lag_steps,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3
1.1267361111111112,3.3802083333333335,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,psaim_no_freezing,4,clean,,0.007547350748472089,0.007907711681179944,0.04699033871293068,0.0,0.9544291765763919
3.057658664248176,8.623063105312792,22.412499999999977,0.3560384114583333,0.18767791656076968,76.75,14.625,psaim_no_freezing,4,stressed,11.6875,0.05778819625028503,0.10309048125466443,0.06869722437113523,0.0042861392721533775,0.7957570515882413
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,heuristic_sjf_bestfit,5,clean,,,,,,
2.6864676188750405,8.237488100492822,27.518749999999986,0.3777669270833333,0.14142826269693332,79.5,11.625,heuristic_sjf_bestfit,5,stressed,16.1875,,,,,
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,deeprm_inspired_pg,5,clean,,,,,,
3.255873200687067,9.229148287528634,24.356249999999996,0.3819986979166667,0.1625531540782977,79.5,13.375,deeprm_inspired_pg,5,stressed,12.854166666666668,,,,,
1.1371527777777777,3.4114583333333335,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,plain_dqn,5,clean,,,,,,
3.566891707676561,10.014682825086759,36.15624999999993,0.36824544270833337,0.1968140694997725,79.5,15.875,plain_dqn,5,stressed,17.571428571428573,,,,,
2.9800347222222223,8.940104166666668,63.29374999999988,0.23372395833333331,0.0859375,48.0,4.125,dqn_rnd,5,clean,,0.0,,,,
4.998862886045556,14.086064481638742,68.31875,0.344482421875,0.23210807633950886,79.5,18.75,dqn_rnd,5,stressed,13.0625,0.0,,,,
1.0894097222222223,3.268229166666667,3.0,0.24869791666666669,0.026041666666666664,48.0,1.25,psaim_lite,5,clean,,0.007490624751147973,0.007847849263290312,0.05019005388021469,0.0,0.9544812215222687
3.673475486506372,10.201423233901965,34.293749999999946,0.36376953125,0.1982994276149782,79.5,16.0,psaim_lite,5,stressed,17.0,-0.03351331491821817,0.05057570273939288,0.0721872253343463,0.0051541682332754135,0.8335999927657876
1.0807291666666667,3.2421875,3.0,0.24934895833333331,0.0234375,48.0,1.125,psaim_no_aleatoric,5,clean,,0.007509390774815962,0.007867652093822463,0.0,0.0,0.9544640110246103
3.5616753267519554,9.930374067884756,35.58124999999994,0.37019856770833337,0.19098218938146372,79.5,15.375,psaim_no_aleatoric,5,stressed,17.333333333333332,0.051200692139486956,0.05837672263237087,0.0,0.0,0.8927875061817271
1.0043402777777777,3.0130208333333335,3.0,0.24934895833333331,0.0234375,48.0,1.125,psaim_no_gate,5,clean,,0.007867652093822463,0.007867652093822463,0.049742598086595535,0.0,1.0
3.5621970951984903,10.025923295357893,33.96249999999995,0.3658854166666667,0.19486322536281184,79.5,15.75,psaim_no_gate,5,stressed,14.6875,-0.540452520514603,0.040260566069784794,0.0770701770670712,0.011299768462777138,1.0
1.0763888888888888,3.2291666666666665,3.0,0.24869791666666666,0.0234375,48.0,1.125,psaim_no_freezing,5,clean,,0.007524505777431311,0.007883602747994004,0.048480015248060226,0.0,0.9544501439200415
3.6017731531900137,10.04700637336298,34.356249999999974,0.36328125,0.1870436904493259,79.5,15.125,psaim_no_freezing,5,stressed,15.104166666666668,0.015120980776968228,0.0429016144355901,0.07503491034731269,0.0007669012993574142,0.8024914048060059
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,heuristic_sjf_bestfit,6,clean,,,,,,
2.1380581862222274,6.7367158148800055,22.85624999999998,0.3688151041666667,0.14747588548355478,76.875,12.25,heuristic_sjf_bestfit,6,stressed,12.791666666666666,,,,,
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,deeprm_inspired_pg,6,clean,,,,,,
3.335910494597118,9.276800760720548,42.08125,0.3465983072916667,0.21898894479325698,76.875,17.75,deeprm_inspired_pg,6,stressed,11.875,,,,,
1.1189236111111112,3.356770833333333,3.0,0.248046875,0.026041666666666664,48.0,1.25,plain_dqn,6,clean,,,,,,
7.529516751480456,21.367838058955655,51.925,0.15861002604166669,0.6033834080754301,76.875,48.25,plain_dqn,6,stressed,7.333333333333333,,,,,
1.0234375,3.0703125,3.0,0.24934895833333331,0.0234375,48.0,1.125,dqn_rnd,6,clean,,0.0,,,,
2.5534663663956256,7.350456433486292,18.531249999999996,0.37320963541666663,0.16215278619412327,76.875,13.375,dqn_rnd,6,stressed,15.166666666666666,0.0,,,,
