average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,severity_rank,method,method_label,seed
5.1506944444444445,19.360677083333336,82.59375,0.4134928385416667,0.3333333333333333,96.0,32.0,c5_duration_misreport_mechanism,duration_misreport,low,1,sjf_r_0p25,SJF-R(0.25),3
3.0553602430555555,11.48046875,65.5,0.5901692708333334,0.1796875,96.0,17.25,c5_duration_misreport_mechanism,duration_misreport,low,1,psaim_lite,Simplified PSAIM,3
3.1050998263888885,11.565104166666668,66.1875,0.5912272135416667,0.1809895833333333,96.0,17.375,c5_duration_misreport_mechanism,duration_misreport,low,1,psaim_rawvar,PSAIM-RawVar,3
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,heuristic_sjf_bestfit,SJF best-fit heuristic,3
5.203038194444445,17.734375,64.0,0.502197265625,0.31640625,96.0,30.375,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p10,SJF-R(0.10),3
5.161892361111111,18.4921875,76.5625,0.456787109375,0.3307291666666667,96.0,31.75,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p17,SJF-R(0.17),3
5.094032118055556,18.287760416666668,79.125,0.470703125,0.3125,96.0,30.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p18,SJF-R(0.18),3
5.495941840277778,20.272135416666668,83.125,0.416259765625,0.3658854166666667,96.0,35.125,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p25,SJF-R(0.25),3
3.0690104166666665,11.50390625,65.65625,0.5879720052083333,0.1809895833333333,96.0,17.375,c5_duration_misreport_mechanism,duration_misreport,medium,2,psaim_lite,Simplified PSAIM,3
3.0878038194444444,11.540364583333332,64.90625,0.5887858072916666,0.1822916666666666,96.0,17.5,c5_duration_misreport_mechanism,duration_misreport,medium,2,psaim_rawvar,PSAIM-RawVar,3
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,c5_duration_misreport_mechanism,duration_misreport,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,3
5.248133680555556,17.967447916666668,67.84375,0.5022786458333334,0.30859375,96.0,29.625,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p10,SJF-R(0.10),3
5.082161458333333,18.217447916666664,79.3125,0.479736328125,0.3125,96.0,30.0,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p17,SJF-R(0.17),3
