episode,regime,action,V_epi,V_ale,V_ale_excess,gate_h3,r_int,action_type,eval_episode,experiment,scenario,severity,method,method_label,seed,raw_var
73.0,high_entropy,0.0,0.0384174909963916,0.0797388479113578,0.0075859203934669,0.904468257436373,-0.0084222718423842,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
74.0,high_entropy,0.0,0.0384174909963916,0.0797388479113578,0.0075859203934669,0.8942656297418698,-0.0133881769026384,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
75.0,high_entropy,0.0,0.0415373580367848,0.0858084037899971,0.0136554762721061,0.8921829928244225,-0.0500030237037991,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
76.0,high_entropy,1.0,0.0628618557093712,0.0735670402646064,0.0,0.7073191192457224,0.0444633924145041,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
77.0,high_entropy,0.0,0.0553398590529466,0.0777937248349189,0.005640797317028,0.7239455349972185,-0.0519416490630762,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
78.0,high_entropy,0.0,0.0448129079765135,0.0780391991138458,0.0058862715959548,0.710634009744052,-0.0686494696554098,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
79.0,high_entropy,1.0,0.2474873734152916,0.0,0.0,0.710634009744052,0.1758729445311321,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
80.0,high_entropy,0.0,0.0430820218427664,0.0701915845274925,0.0,0.6743825746072158,0.0290537648096091,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
81.0,high_entropy,0.0,0.0546608166610121,0.081381544470787,0.0092286169528961,0.7098321760887071,-0.1177160370017189,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
82.0,high_entropy,0.0,0.2474873734152916,0.0,0.0,0.9033860974566528,0.2235766524394376,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
83.0,high_entropy,2.0,0.0686406472983644,0.0945664271712303,0.0159154683351516,0.9092195640943138,-0.0230504958419458,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
84.0,high_entropy,0.0,0.0296866125387989,0.0874930992722511,0.0153401717543601,0.9092195640943138,-0.055421183559826,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
