average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,severity_rank,method,method_label,seed,condition,degradation_pct,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3
17.571809895833333,52.1796875,94.25,0.0086263020833333,0.9921875,96.0,95.25,reward_corruption_robustness,reward_corruption,high,3,psaim_lite,Simplified PSAIM,8,stressed,482.8053810109909,0.0017658320710811,0.0077771223186535,0.0895648915320634,0.0021812161430716,0.9563332559111926
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,9,clean,0.0,,,,,
3.325868055555556,12.197916666666666,65.5,0.580078125,0.1770833333333333,96.0,17.0,reward_corruption_robustness,clean,clean,0,deeprm_inspired_pg,PG proxy,9,clean,0.0,,,,,
3.741558159722222,13.854166666666668,74.75,0.5611165364583333,0.22265625,96.0,21.375,reward_corruption_robustness,clean,clean,0,plain_dqn,DQN,9,clean,0.0,,,,,
3.0105685763888888,11.463541666666666,65.28125,0.583251953125,0.1796875,96.0,17.25,reward_corruption_robustness,clean,clean,0,dqn_rnd,DQN+RND,9,clean,0.0,0.0,,,,
3.0178385416666664,11.37890625,65.96875,0.5904947916666666,0.1783854166666666,96.0,17.125,reward_corruption_robustness,clean,clean,0,psaim_lite,Simplified PSAIM,9,clean,0.0,0.0162018208925075,0.0209937619416488,0.0406515887007117,0.0,0.749632797080126
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,reward_corruption,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,9,stressed,0.0,,,,,
17.66111111111111,52.5,94.5,0.0,1.0,96.0,96.0,reward_corruption_robustness,reward_corruption,high,3,deeprm_inspired_pg,PG proxy,9,stressed,431.0226027039723,,,,,
17.59223090277778,52.27473958333333,94.09375,0.0079752604166666,0.9921875,96.0,95.25,reward_corruption_robustness,reward_corruption,high,3,plain_dqn,DQN,9,stressed,370.1846169907953,,,,,
17.497591145833333,52.098958333333336,94.15625,0.0026041666666666,0.9934895833333334,96.0,95.375,reward_corruption_robustness,reward_corruption,high,3,dqn_rnd,DQN+RND,9,stressed,481.2055331694624,0.0,,,,
